Department,Count
ANTH,114
ENGL,104
HIST,90
GNSE,81
BIOS,77
CRWR,75
ENST,70
ARTH,62
ARCH,57
RLST,57
FNDL,56
CMLT,54
HIPS,53
EALC,50
CLCV,49
CMST,49
PLSC,47
PBPL,45
GLST,44
LACS,44
MAAD,43
HMRT,42
FREN,41
ARTV,40
NEHC,37
MUSI,36
ECON,34
SALC,33
CHDV,32
MENG,32
CMSC,32
MDVL,31
SPAN,31
REES,30
ITAL,29
JWSC,29
SOCI,23
LING,23
NSCI,22
CEGU,22
GEOS,22
STAT,22
COGS,19
ENSC,19
SSAD,18
MACS,16
PHIL,16
PSYC,16
TAPS,15
ASTR,15
DEMS,15
LLSO,14
RDIN,13
DIGS,12
PORT,11
CHIN,11
NEAA,10
HEBR,9
CHEM,9
DATA,8
GRMN,8
MATH,7
CATA,6
SWAH,6
GREK,5
SUMR,5
GISC,5
ASLG,5
SCPD,4
MOGK,4
KREY,4
ECMA,4
LATN,4
RUSS,4
TURK,3
BCSN,3
NELG,3
KORE,3
JAPN,3
ARAM,3
EGPT,3
AKKD,2
BASQ,2
KAZK,2
YDDH,2
IRHU,2
AANL,1
ARAB,1
SANS,1
POLI,1
BANG,1
PERS,1
GEEZ,1
PPHA,1
